鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路一段1~30號,24.72,住,,,1080915,土地2建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071109,194.88,2,2,2,有,有,57800000,338215,坡道平面,33.74,3300000,,RPSPMLKMKIOFFCA87CA
內湖區,房地(土地+建物)+車位,臺北市內湖區康寧路三段189巷21弄1~30號,12.35,商,,,1081026,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020506,130.61,2,2,1,有,有,18800000,143951,坡道平面,39.65,0,,RPUPMLSKKIOFFCA68CA
中正區,房地(土地+建物)+車位,臺北市中正區信義路二段1~30號,21.1,商,,,1081113,土地3建物1車位1,九層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0761228,217.26000000000002,4,2,2,有,有,54200000,249471,坡道平面,0.0,0,,RPUNMLQLKIOFFBA28CA
大同區,房地(土地+建物)+車位,臺北市大同區雙連街61~90號,21.92,住,,,1061004,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060726,226.96,4,2,2,有,有,50160000,246756,坡道平面,35.84,3000000,,RPQNMLOLKIOFFBA67CA
萬華區,房地(土地+建物)+車位,臺北市萬華區昆明街181~210號,8.21,商,,,1081113,土地1建物1車位1,五層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000623,110.42,2,2,2,有,有,6700000,60672,坡道平面,20.38,0,親友、員工或其他特殊關係間之交易。;1.二親等間買賣。2.建物清冊內公設含車位面積,RPVOMLNKKIOFFBA08CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路31~60號,22.05,商,,,1081010,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000422,317.81,3,2,4,有,有,53600000,168654,坡道平面,23.9,0,,RPOPMLNKKIOFFBA47CA
文山區,房地(土地+建物),臺北市文山區木柵路二段31~60號,16.03,商,,,1081203,土地4建物1車位0,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861104,76.39,2,1,1,有,有,9900000,129598,,0.0,0,,RPSPMLTKKIOFFAA38CA
文山區,房地(土地+建物)+車位,臺北市文山區木柵路二段109巷100弄1~30號,76.85,住,,,1081106,土地2建物1車位1,十層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850925,127.59,3,2,2,有,有,14000000,109726,坡道機械,13.67,0,含增建或未登記建物。;,RPVNMLSKKIOFFAA38CA
大同區,房地(土地+建物)+車位,臺北市大同區延平北路三段1~30號,13.23,其他,,,1081027,土地3建物1車位1,六層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080625,159.56,3,2,2,有,有,34050000,229466,坡道機械,19.67,1950000,,RPWOMLRKKIOFFBA58CA
大同區,房地(土地+建物),臺北市大同區民權西路211~240號,5.48,其他,,,1081114,土地3建物1車位0,十二層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080625,57.94,1,1,1,有,有,13580000,234380,,0.0,0,,RPXOMLRKKIOFFBA68CA
大同區,房地(土地+建物)+車位,臺北市大同區民權西路211~240號,8.41,其他,,,1081029,土地3建物1車位1,十二層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080625,108.52000000000001,2,2,1,有,有,22900000,235228,坡道機械,19.67,2000000,,RPOPMLRKKIOFFBA87CA
萬華區,房地(土地+建物)+車位,臺北市萬華區桂林路91~120號,6.42,商,,,1081126,土地1建物1車位1,二十三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,124.44,2,1,1,有,無,17400000,175017,坡道平面,37.02,2100000,土地及建物分次登記案件。前案土地登記收件字號：;,RPOOMLRJJHPFFBA57CA
萬華區,房地(土地+建物),臺北市萬華區桂林路91~120號,5.95,商,,,1081126,土地1建物1車位0,十五層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,82.94,2,1,1,有,無,15300000,184471,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPPOMLRJJHPFFBA67CA
萬華區,房地(土地+建物),臺北市萬華區桂林路91~120號,4.37,商,,,1081126,土地1建物1車位0,二十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,60.83,2,1,1,有,無,11000000,180832,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPQOMLRJJHPFFBA77CA
萬華區,房地(土地+建物)+車位,臺北市萬華區桂林路91~120號,6.42,商,,,1081126,土地1建物1車位1,二十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,124.44,2,1,1,有,無,18210000,178563,坡道平面,37.02,2600000,土地及建物分次登記案件。前案土地登記收件字號：;,RPSOMLRJJHPFFBA97CA
萬華區,房地(土地+建物)+車位,臺北市萬華區桂林路91~120號,6.55,商,,,1081126,土地1建物1車位1,八層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,126.46,2,1,1,有,無,18500000,182245,坡道平面,37.02,2200000,土地及建物分次登記案件。前案土地登記收件字號：;,RPTOMLRJJHPFFBA08CA
萬華區,房地(土地+建物)+車位,臺北市萬華區桂林路91~120號,10.28,商,,,1081126,土地1建物1車位2,十六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,192.24,3,2,2,有,無,31000000,193034,坡道平面,51.85,3900000,土地及建物分次登記案件。前案土地登記收件字號：;,RPXOMLRJJHPFFBA48CA
萬華區,房地(土地+建物),臺北市萬華區桂林路91~120號,4.61,商,,,1081126,土地1建物1車位0,二十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,64.17,2,1,1,有,無,12300000,191678,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPQPMLRJJHPFFBA87CA
萬華區,房地(土地+建物)+車位,臺北市萬華區桂林路91~120號,6.73,商,,,1081126,土地1建物1車位1,五層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,128.87,2,1,1,有,無,18000000,168753,坡道平面,37.02,2500000,土地及建物分次登記案件。前案土地登記收件字號：;,RPSPMLRJJHPFFBA08CA
